name,description,era,what_happened,question_variations
"Ceylon under British","British colonial era impacting agriculture, transport, and governance","1796 – 1948","• Introduced plantation economy (tea, coffee, rubber)|• Built infrastructure (roads, railways)|• Westernized education and judiciary|• Suppressed rebellions and annexed Kandyan Kingdom","What was Ceylon under British?|Explain British Ceylon|Tell me about British period"
"Resistance to Portuguese","Conflicts between Sinhalese kingdoms and Portuguese colonizers","1505 – 1658","• Sitawaka Kingdom under Mayadunne and Rajasinghe I resisted Portuguese|• Battles at key coastal forts|• Period marked by political alliances and warfare","What was the resistance to Portuguese?|Tell me about anti-Portuguese wars|Explain Sinhalese resistance"
"Resistance to Dutch","Local and regional resistance against Dutch control","1658 – 1796","• Kandyan Kingdom resisted Dutch incursions inland|• Guerrilla tactics in central hills|• Preservation of independence through diplomacy","What was the resistance to Dutch?|Explain Dutch resistance in Sri Lanka|Tell me about anti-Dutch efforts"
"Resistance to British","Anti-British uprisings and movements leading to independence","1817 – 1948","• Uva Rebellion (1817–1818) against British|• Formation of independence movements in 20th century|• Role of leaders like D.S. Senanayake and C.W.W. Kannangara|• Peaceful protests and strikes paved way for independence","What was resistance to British?|Tell me about uprisings against British|Explain anti-British movements"
"Portuguese Cultural Influence","Changes in culture, religion, and cuisine during Portuguese rule","1505 – 1658","• Spread of Catholicism|• Introduction of European foods and costumes|• Fusion of local and Portuguese customs|• Creation of Burgher community","What was Portuguese cultural influence?|Explain Portuguese impact on culture|Tell me about Portuguese heritage"
"Dutch Cultural Influence","Dutch contributions to administration, religion, and trade practices","1658 – 1796","• Introduced Calvinist churches|• Implemented Dutch law systems|• Strengthened cinnamon and spice trade|• Influenced architecture along coastal forts","What was Dutch cultural influence?|Explain Dutch contributions|Tell me about Dutch legacy"
"British Cultural Influence","Westernization and modernization of society under British rule","1796 – 1948","• English education systems introduced|• Legal and judicial reforms|• Promotion of Christianity and Western culture|• Urbanization and infrastructure development","What was British cultural influence?|Explain British cultural impact|Tell me about British legacy"
"Portuguese Military Campaigns","Wars and skirmishes between Portuguese and local kingdoms","1505 – 1658","• Battles with Kotte and Sitawaka|• Coastal fortifications and naval battles|• Use of firearms and cannons|• Resistance by Sinhalese armies","What were Portuguese military campaigns?|Explain Portuguese wars in Sri Lanka|Tell me about Portuguese battles"
"Dutch Military Campaigns","Dutch conflicts with Portuguese and local kingdoms to secure trade","1658 – 1796","• Dutch allied with Kandyan kings to remove Portuguese|• Captured forts and territories|• Naval battles in coastal areas|• Maintained monopoly on cinnamon trade","What were Dutch military campaigns?|Explain Dutch battles in Sri Lanka|Tell me about Dutch conflicts"
"British Military Campaigns","Rebellions and resistance suppressed during British colonization","1796 – 1948","• Uva Rebellion 1817–1818|• Matale Rebellion 1848|• Use of British-trained army to enforce control|• Suppression of local revolts and uprisings","What were British military campaigns?|Explain British wars in Sri Lanka|Tell me about anti-British battles"
"Treaties with Europeans","Key agreements shaping colonial power and local politics","16th – 19th century","• Kandyan treaties with Dutch to expel Portuguese|• British treaties to annex Kandyan kingdom in 1815|• Agreements affecting trade and taxation|• Formalized colonial rule","What were treaties with Europeans?|Explain colonial treaties|Tell me about agreements with Portuguese, Dutch, and British"
"King Dutugemunu Constructions","King Dutugemunu, legendary Sinhalese ruler, built stupas, reservoirs, and monuments","2nd century BC","• Built Ruwanwelisaya Stupa|• Built Lovamahapaya (Brazen Palace)|• Constructed other stupas like Mirisaveti and Basawakkulama|• Expanded irrigation and urban facilities in Anuradhapura","What did King Dutugemunu build?|Explain King Dutugemunu constructions|List constructions by King Dutugemunu"
"King Devanampiyatissa Constructions","King who embraced Buddhism and supported early monastic and irrigation constructions","3rd century BC","• Built Thuparamaya Stupa|• Expanded Tissa Wewa reservoir|• Supported early Buddhist temples in Anuradhapura","What did King Devanampiyatissa build?|Explain constructions by Devanampiyatissa|List Devanampiyatissa works"
"King Mahasena Constructions","King famous for irrigation development and Buddhist temples","3rd century AD","• Built Jetavanaramaya Stupa|• Constructed Minneriya Tank|• Built Kuttam Pokuna (twin ponds)|• Expanded Abhayagiriya complex","What did King Mahasena build?|Explain Mahasena constructions|List works of King Mahasena"
"King Valagamba Constructions","King who restored Anuradhapura and promoted Buddhist architecture","1st century BC","• Built Abhayagiriya Temple complex|• Constructed Nuwara Wewa reservoir|• Built protective city structures|• Renovated Thuparamaya Stupa","What did King Valagamba build?|Explain Valagamba constructions|List works of King Valagamba"
"King Dhatusena Constructions","King known for massive hydraulic works","5th century AD","• Built Kala Wewa reservoir|• Built Jaya Ganga canal to transport water|• Constructed Tissa Wewa expansion|• Strengthened city irrigation","What did King Dhatusena build?|Explain Dhatusena constructions|List works of King Dhatusena"
"King Parakramabahu I Constructions","King famous for large-scale irrigation and urban development in Polonnaruwa","12th century AD","• Built Parakrama Samudraya reservoir|• Constructed extensive canal networks|• Built Polonnaruwa city structures|• Strengthened religious monuments","What did King Parakramabahu I build?|Explain Parakramabahu constructions|List works of King Parakramabahu"
"King Kashyapa I Constructions","King known for Sigiriya palace-fortress and gardens","5th century AD","• Built Sigiriya Rock Fortress|• Constructed gardens, pools, and water systems|• Painted frescoes on Sigiriya rock face","What did King Kashyapa I build?|Explain Kashyapa constructions|List works of King Kashyapa I"
"King Bhuvanekabahu I Constructions","King of Yapahuwa, built fortresses and administrative structures","13th century AD","• Built Yapahuwa Rock Fortress|• Constructed staircases and defensive walls|• Strengthened city for security","What did King Bhuvanekabahu I build?|Explain Bhuvanekabahu constructions|List works of King Bhuvanekabahu I"
"King Bhuvanekabahu IV Constructions","King of Gampola who promoted temples and architecture","14th century AD","• Built Lankatilaka Temple|• Constructed Gadaladeniya Temple|• Promoted religious and architectural works","What did King Bhuvanekabahu IV build?|Explain Bhuvanekabahu constructions|List works of King Bhuvanekabahu IV"
"King Vimaladharmasuriya I Constructions","King of Kandy who restored temples and built fortifications","16th – 17th century","• Renovated Temple of the Tooth Relic|• Built fortifications around Kandy city|• Expanded royal palaces","What did King Vimaladharmasuriya I build?|Explain Vimaladharmasuriya constructions|List works of King Vimaladharmasuriya I"
"King Rajasinghe I Constructions","King of Sitawaka known for military and urban projects","16th century","• Strengthened Sitawaka fortifications|• Built military infrastructure|• Developed local irrigation channels","What did King Rajasinghe I build?|Explain Rajasinghe constructions|List works of King Rajasinghe I"
"King Kirti Sri Rajasinha Constructions","King of Kandy who restored temples and encouraged art","18th century","• Renovated Temple of the Tooth Relic|• Supported Buddhist temple restorations|• Promoted arts and sculptures in Kandy","What did King Kirti Sri Rajasinha build?|Explain Kirti Sri Rajasinha constructions|List works of King Kirti Sri Rajasinha"
"King Sri Vikrama Rajasinha Constructions","Last king of Kandy, maintained palaces and temples","18th – 19th century","• Maintained royal palace of Kandy|• Preserved Buddhist temples|• Developed minor irrigation projects","What did King Sri Vikrama Rajasinha build?|Explain Sri Vikrama Rajasinha constructions|List works of King Sri Vikrama Rajasinha"
"King Vijayabahu I Constructions","King who restored Polonnaruwa after Chola invasion","11th century AD","• Built Gal Vihara stone Buddha statues|• Constructed reservoirs and irrigation networks|• Restored temples damaged by Cholas","What did King Vijayabahu I build?|Explain Vijayabahu constructions|List works of King Vijayabahu I"
"King Nissanka Malla Constructions","Polonnaruwa king known for grand architecture","12th century AD","• Built Rankoth Vehera Stupa|• Constructed Nissanka Latha Mandapaya|• Renovated city infrastructure|• Promoted Buddhist architecture","What did King Nissanka Malla build?|Explain Nissanka Malla constructions|List works of King Nissanka Malla"
"King Parakramabahu II Constructions","Dambadeniya king, promoted literature and temple construction","13th century AD","• Built temples and monasteries in Dambadeniya|• Constructed irrigation tanks|• Promoted Buddhist art and inscriptions","What did King Parakramabahu II build?|Explain Parakramabahu II constructions|List works of King Parakramabahu II"
"King Kavantissa Constructions","King of Ruhuna who supported infrastructure and temples","2nd century BC","• Expanded local irrigation tanks|• Built small Buddhist stupas|• Strengthened Ruhuna’s regional infrastructure","What did King Kavantissa build?|Explain Kavantissa constructions|List works of King Kavantissa"
"King Mahanaga Constructions","King of Ruhuna who developed agriculture and irrigation","3rd century BC","• Built small irrigation reservoirs|• Supported construction of monasteries|• Strengthened local settlements","What did King Mahanaga build?|Explain Mahanaga constructions|List works of King Mahanaga"
"King Devanampiyatissa Constructions","Early king who started major Buddhist constructions","3rd century BC","• Built Thuparamaya Stupa|• Expanded Tissa Wewa reservoir|• Built early Buddhist temples","What did King Devanampiyatissa build?|Explain Devanampiyatissa constructions|List works of King Devanampiyatissa"
"King Mahasena Constructions","King who created tanks and ponds for agriculture and monastic purposes","3rd century AD","• Built Minneriya Tank|• Constructed Kuttam Pokuna|• Expanded Abhayagiriya|• Developed irrigation for agriculture","What did King Mahasena build?|Explain Mahasena constructions|List works of King Mahasena"
"Kala Wewa","Massive reservoir built by King Dhatusena to irrigate Anuradhapura and surrounding regions","5th century AD","• Built by King Dhatusena to solve water shortage|• Covered over 7,000 acres|• Supplied water via Jaya Ganga canal|• Enabled large-scale paddy cultivation|• Part of advanced hydraulic system","What is Kala Wewa?|Tell me about Kala Wewa|Explain Kala Wewa tank"
"Tissa Wewa","Ancient tank built by King Devanampiyatissa for irrigation and urban use","3rd century BC","• Constructed to supply water to Anuradhapura city|• Supported agricultural lands|• Served Mahamewna Garden and monasteries","What is Tissa Wewa?|Tell me about Tissa Wewa|Explain Tissa Wewa reservoir"
"Nuwara Wewa","Reservoir built by King Valagamba to supply water to Anuradhapura","1st century BC","• Provided water to city and farms|• Part of sophisticated hydraulic network|• Ensured sustainable agriculture","What is Nuwara Wewa?|Explain Nuwara Wewa|Tell me about Nuwara reservoir"
"Parakrama Samudraya","Vast inland sea built by King Parakramabahu I in Polonnaruwa","12th century AD","• Built for irrigation of entire region|• Connected via canals to multiple tanks|• Motto: 'Not even a single drop should be wasted'|• Enabled massive rice cultivation","What is Parakrama Samudraya?|Tell me about Parakrama Samudraya|Explain Parakrama Samudraya tank"
"Minneriya Tank","Reservoir constructed by King Mahasena to support agriculture and elephants","3rd century AD","• Also called Mahasen Wewa|• Supplies water to Minneriya National Park|• Advanced bund and sluice system|• Supports irrigation and wildlife habitat","What is Minneriya Tank?|Explain Minneriya Wewa|Tell me about Minneriya reservoir"
"Basawakkulama Wewa","Ancient tank built by King Pandukabhaya in Anuradhapura","4th century BC","• Used for urban water supply and irrigation|• Enabled paddy cultivation around city|• Early example of hydraulic engineering","What is Basawakkulama Wewa?|Explain Basawakkulama|Tell me about Basawakkulama reservoir"
"Abhaya Wewa","Reservoir built by King Pandukabhaya to support Anuradhapura","4th century BC","• Provided water to city and agriculture|• Part of Abhaya irrigation system|• Early example of planned water management","What is Abhaya Wewa?|Tell me about Abhaya Wewa|Explain Abhaya Wewa tank"
"Parakrama Wewa","Reservoir built by King Parakramabahu I near Polonnaruwa","12th century AD","• Supplied water to fields and settlements|• Connected to canal network|• Enabled large-scale agriculture","What is Parakrama Wewa?|Explain Parakrama Wewa|Tell me about Parakrama reservoir"
"Medirigiriya Wewa","Tank built by ancient kings for irrigation in Polonnaruwa region","12th century AD","• Supported surrounding paddy lands|• Part of Polonnaruwa hydraulic system|• Ensured sustainable water distribution","What is Medirigiriya Wewa?|Tell me about Medirigiriya Wewa|Explain Medirigiriya reservoir"
"Kaudulla Tank","Reservoir built by King Mahasena to supply water to Polonnaruwa and wildlife","3rd century AD","• Connected to Minneriya Tank via canals|• Supports irrigation and elephant habitat|• Large bunds and sluices built|• Used for paddy cultivation","What is Kaudulla Tank?|Explain Kaudulla Wewa|Tell me about Kaudulla reservoir"
"Giritale Tank","Ancient irrigation tank built by King Mahasena","3rd century AD","• Supplied water to nearby paddy fields|• Part of Mahasena’s advanced irrigation system|• Connected with other tanks in the region","What is Giritale Tank?|Tell me about Giritale Wewa|Explain Giritale reservoir"
"Parangi Wewa","Tank built during Dutch era but expanded ancient system from King Mahasena","17th century AD","• Expanded from Mahasena’s irrigation works|• Supplied water to farms and settlements|• Maintains hydraulic functions today","What is Parangi Wewa?|Tell me about Parangi Wewa|Explain Parangi reservoir"
"Inginiyagala Wewa","Reservoir supporting agriculture in Eastern Sri Lanka","10th century AD","• Built to improve irrigation in dry zone|• Supported local farming communities|• Part of medieval Sri Lankan hydraulic network","What is Inginiyagala Wewa?|Tell me about Inginiyagala Wewa|Explain Inginiyagala reservoir"
"Padaviya Wewa","Tank built by ancient kings for dry zone irrigation","10th century AD","• Supplied water to agricultural lands|• Connected via canals to other tanks|• Enhanced local agriculture and settlement","What is Padaviya Wewa?|Explain Padaviya Wewa|Tell me about Padaviya reservoir"
"Parangiyam Wewa","Ancient tank supporting regional irrigation","10th – 12th century AD","• Built to improve crop cultivation|• Connected with regional canal networks|• Part of medieval hydraulic planning","What is Parangiyam Wewa?|Tell me about Parangiyam Wewa|Explain Parangiyam reservoir"
"Uruwala Wewa","Small reservoir built for local irrigation by regional kings","9th century AD","• Supplied water to villages|• Part of network of minor irrigation tanks|• Supported local paddy cultivation","What is Uruwala Wewa?|Tell me about Uruwala Wewa|Explain Uruwala reservoir"
"Deduru Oya Tank","Reservoir built to capture river water for agriculture","5th – 12th century AD","• Diverted river water for paddy lands|• Maintained by successive kings|• Supported surrounding villages","What is Deduru Oya Tank?|Explain Deduru Oya Wewa|Tell me about Deduru Oya reservoir"
"Yodha Ela Canal","Aqueduct connecting Kala Wewa to Tissa Wewa for irrigation","5th century AD","• Engineered by King Dhatusena|• Maintains gentle slope over 87 km|• Supplies water to multiple reservoirs|• Key achievement in ancient engineering","What is Yodha Ela?|Explain Yodha Ela canal|Tell me about Yodha Ela irrigation system"
"Rajanganaya Wewa","Tank built to irrigate large areas in North Central Province","11th – 12th century AD","• Part of Polonnaruwa hydraulic system|• Supported large-scale agriculture|• Maintained by successive kings","What is Rajanganaya Wewa?|Tell me about Rajanganaya Wewa|Explain Rajanganaya reservoir"
"Giritale-Angammedilla Tank","Connected tanks for irrigation under medieval kings","12th century AD","• Linked Giritale and Angammedilla reservoirs|• Supplied water to paddy fields|• Managed through canal network","What is Giritale-Angammedilla Tank?|Tell me about Giritale-Angammedilla Wewa|Explain Giritale-Angammedilla reservoir"
"Kala Wewa","Massive reservoir built to irrigate Anuradhapura region, showcasing advanced hydraulic engineering","5th century AD","• Built by King Dhatusena|• Connected via Jaya Ganga canal to transport water|• Enabled extensive paddy cultivation|• Still functions today","What is Kala Wewa?|Who built Kala Wewa?|Tell me about Kala Wewa"
"Tissa Wewa","Ancient reservoir built to support Anuradhapura city and agriculture","3rd century BC","• Built by King Devanampiyatissa|• Irrigated farmland and supported Mahamewna Gardens|• Part of early hydraulic systems","Who built Tissa Wewa?|Explain Tissa Wewa|Tell me about Tissa reservoir"
"Nuwara Wewa","Reservoir supplying water to city and surrounding farmlands","1st century BC","• Built by King Valagamba|• Part of urban water management in Anuradhapura|• Supported irrigation and monastic facilities","Who built Nuwara Wewa?|Explain Nuwara Wewa|Tell me about Nuwara reservoir"
"Minneriya Tank","Large reservoir supporting agriculture and elephants habitat","3rd century AD","• Built by King Mahasena|• Known as ‘Mahasen Wewa’|• Supplies water for farming and wildlife|• Integrated into irrigation network","Who built Minneriya Tank?|Explain Minneriya Wewa|Tell me about Minneriya reservoir"
"Parakrama Samudraya","Vast man-made inland sea for agriculture and water management","12th century AD","• Built by King Parakramabahu I|• Covers 6,500 acres|• Connected via canals to Polonnaruwa|• Symbol of king’s motto: ‘Not even a drop of water should be wasted’","Who built Parakrama Samudraya?|Explain Parakrama Samudraya|Tell me about Parakrama Samudraya"
"Padaviya Tank","Reservoir supporting northern dry zone agriculture","1st century BC","• Built by King Vasabha|• Helped expand paddy cultivation|• Part of ancient tank network in Anuradhapura","Who built Padaviya Tank?|Explain Padaviya Wewa|Tell me about Padaviya reservoir"
"Basawakkulama Tank","Ancient tank to support agriculture in Anuradhapura","2nd century BC","• Built by King Dutugemunu|• Known as Abhaya Wewa|• Provided water to city and farmland|• One of the earliest large reservoirs","Who built Basawakkulama Tank?|Explain Basawakkulama Wewa|Tell me about Basawakkulama reservoir"
"Jaya Ganga Canal","Engineering canal transporting water from Kala Wewa to Tissa Wewa","5th century AD","• Built by King Dhatusena|• Gradient maintained perfectly over 87 km|• Supplies multiple reservoirs and agricultural lands","Who built Jaya Ganga?|Explain Jaya Ganga Canal|Tell me about Yodha Ela"
"Minimangalam Tank","Medium-sized tank supporting local agriculture","3rd century AD","• Built by King Mahasena|• Provided irrigation for surrounding villages|• Integrated with other minor tanks","Who built Minimangalam Tank?|Explain Minimangalam Wewa|Tell me about Minimangalam reservoir"
"Parakrama Wewa","Reservoir named after King Parakramabahu I to support Polonnaruwa region","12th century AD","• Constructed by King Parakramabahu I|• Part of Polonnaruwa hydraulic network|• Supported agriculture and urban water supply","Who built Parakrama Wewa?|Explain Parakrama Wewa|Tell me about Polonnaruwa reservoir"
"Kaudulla Tank","Reservoir to support irrigation and elephant migration","5th century AD","• Built by King Dhatusena|• Connected to Minneriya Tank system|• Supports agriculture and wildlife habitat","Who built Kaudulla Tank?|Explain Kaudulla Wewa|Tell me about Kaudulla reservoir"
"Nachchaduwa Tank","Large tank feeding paddy fields and towns","12th century AD","• Built/renovated by King Parakramabahu I|• Part of ancient Polonnaruwa irrigation network|• Ensured water management in dry zone","Who built Nachchaduwa Tank?|Explain Nachchaduwa Wewa|Tell me about Nachchaduwa reservoir"
"Giritale Tank","Reservoir supporting Polonnaruwa and surrounding villages","12th century AD","• Renovated by King Parakramabahu I|• Connected to Minneriya Tank|• Used for paddy irrigation and water supply","Who built Giritale Tank?|Explain Giritale Wewa|Tell me about Giritale reservoir"
"Angammedilla Tank","Reservoir for agriculture in north-central province","12th century AD","• Built by King Parakramabahu I|• Part of ancient water management network|• Supplies water to farmlands and settlements","Who built Angammedilla Tank?|Explain Angammedilla Wewa|Tell me about Angammedilla reservoir"
"Padaviya Wewa","Supporting dry zone irrigation and settlements","1st century BC","• Built by King Vasabha|• Ensured water for paddy cultivation and human settlements","Who built Padaviya Wewa?|Explain Padaviya Tank|Tell me about Padaviya irrigation tank"
"Elahara Tank","Ancient reservoir feeding settlements and agriculture","2nd century BC","• Built by King Dutugemunu|• Provided water to Anuradhapura region|• Part of early tank network","Who built Elahara Tank?|Explain Elahara Wewa|Tell me about Elahara reservoir"
"Kalawewa–Jaya Ganga System","Integrated water system for northern Anuradhapura","5th century AD","• Built by King Dhatusena|• Kala Wewa reservoir feeds multiple tanks via Jaya Ganga canal|• Advanced engineering for irrigation","Who built Kalawewa–Jaya Ganga?|Explain Kalawewa–Jaya Ganga system|Tell me about ancient irrigation system"
"Mahaweli Tank System","Multiple reservoirs along Mahaweli River supporting agriculture","2nd – 12th century AD","• Built and expanded by multiple kings including Dutugemunu and Parakramabahu I|• Includes Minneriya, Kaudulla, and other tanks|• Ensured dry-zone agriculture sustainability","Who built Mahaweli Tank System?|Explain Mahaweli reservoirs|Tell me about Mahaweli irrigation network"
"Medirigiriya Tank","Tank supplying water to eastern region of Anuradhapura","3rd century AD","• Built by King Mahasena|• Supported local agriculture and villages|• Part of ancient tank network","Who built Medirigiriya Tank?|Explain Medirigiriya Wewa|Tell me about Medirigiriya reservoir"
"Alagalla Tank","Small ancient tank for local irrigation","2nd century BC","• Built by King Dutugemunu|• Provided water for nearby paddy fields|• Linked to minor canals","Who built Alagalla Tank?|Explain Alagalla Wewa|Tell me about Alagalla reservoir"
"Early Stone Tools","Primitive stone tools used by early humans for hunting and cutting","100,000 – 40,000 BC","• Early humans in Sri Lanka used choppers and flakes|• Tools made from quartz and chert|• Used for hunting, skinning, and cutting wood","What were early stone tools?|Explain Stone Age tools in Sri Lanka|Who used stone tools in ancient Sri Lanka?"
"Homo Erectus Settlement","First known human-like species in Sri Lanka","500,000 – 125,000 BC","• Evidence of Homo erectus in caves|• Lived in small groups|• Used fire and basic tools|• Hunted animals and gathered plants","Who were Homo erectus in Sri Lanka?|Explain early human settlements|What did Homo erectus do?"
"Balangoda Man","Mesolithic humans found in Sri Lanka","38,000 – 4,000 BC","• Balangoda Man known for stone tools and cave dwelling|• Hunter-gatherers lifestyle|• Practiced simple burial rituals","Who were Balangoda Man?|Explain Balangoda Man in Sri Lanka|Tell me about prehistoric humans"
"Fa-Hien Cave Evidence","Archaeological site showing early human life","38,000 – 4,000 BC","• Evidence of stone tools, bones, and habitation|• Shows hunting and gathering activities|• Paintings and carvings found in later sites","What is Fa-Hien Cave?|Explain Stone Age evidence in Fa-Hien Cave|Tell me about prehistoric cave sites"
"Hunting Techniques","Methods used by early humans to capture animals","100,000 – 4,000 BC","• Used spears, traps, and slings|• Cooperative hunting in groups|• Relied on knowledge of animal behavior","What were hunting techniques in Stone Age?|Explain Stone Age hunting in Sri Lanka|How did early humans hunt?"
"Stone Age Diet","Food sources for prehistoric humans","100,000 – 4,000 BC","• Consumed wild fruits, nuts, roots, and small animals|• Hunted deer, monkeys, and birds|• Practiced seasonal gathering","What did Stone Age humans eat?|Explain diet of prehistoric humans|Tell me about early human food sources"
"Cave Dwellings","Early shelters of prehistoric humans","100,000 – 4,000 BC","• Lived in natural caves and rock shelters|• Used fire for warmth and cooking|• Painted cave walls in some regions","What were cave dwellings in Stone Age?|Explain early human shelters|Tell me about Stone Age homes"
"Stone Age Tools Development","Evolution of tools over time","100,000 – 4,000 BC","• Started with simple flakes and choppers|• Later developed microliths for hunting|• Used for cutting, scraping, and digging","Explain Stone Age tool development|What were Stone Age tools?|Tell me about evolution of stone tools"
"Fire Usage","Early control of fire by humans","100,000 – 40,000 BC","• Used fire for warmth, cooking, and protection|• Evidence found in ancient caves|• Enabled expansion into colder areas","How did Stone Age humans use fire?|Explain fire usage in Stone Age|Who discovered fire in Sri Lanka?"
"Rock Art","Paintings and carvings by prehistoric humans","38,000 – 4,000 BC","• Found in caves like Batadombalena and Fa-Hien|• Depicts animals, hunting scenes, and human figures|• Reflects cultural and spiritual beliefs","What is Stone Age rock art?|Explain prehistoric cave paintings|Tell me about ancient rock art in Sri Lanka"
"Microliths","Small stone tools developed in late Stone Age","10,000 – 4,000 BC","• Used by Balangoda Man|• Made from chert and quartz|• Used in composite tools and hunting arrows","What are microliths?|Explain microlith tools in Sri Lanka|Who used microliths?"
"Bone Tools","Tools made from animal bones","10,000 – 4,000 BC","• Used needles, fishhooks, and awls|• Supported hunting, sewing, and fishing|• Found in cave excavations","What are Stone Age bone tools?|Explain bone tools in Sri Lanka|Tell me about prehistoric bone artifacts"
"Shell Artifacts","Ornaments and tools from shells","10,000 – 4,000 BC","• Used shells to make necklaces and bracelets|• Evidence of cultural expression|• Found in coastal sites","What are Stone Age shell artifacts?|Explain prehistoric shell ornaments|Who made shell jewelry?"
"Hunting Strategies","Cooperative methods for hunting large animals","50,000 – 4,000 BC","• Ambush hunting and drives|• Used traps and spears|• Shared meat among group members","What were Stone Age hunting strategies?|Explain early hunting methods|Tell me about prehistoric hunting"
"Animal Domestication Beginnings","Initial contact with animals","12,000 – 4,000 BC","• Dogs likely domesticated for guarding and hunting|• Evidence minimal, mostly speculative|• Mostly wild animals hunted","Did Stone Age humans domesticate animals?|Explain early domestication|What animals were domesticated?"
"Stone Age Clothing","Use of materials for covering and protection","100,000 – 4,000 BC","• Made from animal hides and plant fibers|• Used needles and sinew for stitching|• Protected against cold and injuries","What did Stone Age humans wear?|Explain prehistoric clothing|Tell me about Stone Age garments"
"Tool Workshops","Sites where tools were made","50,000 – 4,000 BC","• Found in caves and open-air sites|• Production of microliths and scrapers|• Shows specialization of labor","What are Stone Age tool workshops?|Explain prehistoric workshops|Tell me about Stone Age tool-making sites"
"Burial Practices","Early rituals for the dead","38,000 – 4,000 BC","• Buried bodies with grave goods like shells and beads|• Evidence of spiritual beliefs|• Indicates social structure and respect for dead","What were Stone Age burial practices?|Explain prehistoric burial rituals|Tell me about ancient graves"
"Migration Patterns","Movement of early humans within the island","100,000 – 4,000 BC","• Settled near water sources and fertile lands|• Seasonal movement following animal herds|• Expansion across the island","What were Stone Age migration patterns?|Explain early human movement|Tell me about prehistoric settlements"
"Rock Shelter Habitats","Shelters used for daily living","100,000 – 4,000 BC","• Batadombalena and Fa-Hien Caves used for habitation|• Protected from weather and predators|• Locations show strategic choice near resources","What are Stone Age rock shelters?|Explain prehistoric caves|Tell me about ancient human habitats"
"Early Herding Practices","Pastoral communities started domesticating animals","6,000 – 3,000 BC","• Domesticated cattle, goats, and sheep|• Used animals for milk, meat, and hides|• Began seasonal movement to find pastures","What were early herding practices?|Explain Shepherd Age in Sri Lanka|Who practiced animal herding?"
"Cattle Domestication","Introduction of cattle for farming and sustenance","5,500 – 3,000 BC","• Cattle domesticated for milk and meat|• Helped support larger settlements|• Contributed to agricultural transition later","Who domesticated cattle in Sri Lanka?|Explain early cattle domestication|Tell me about Shepherd Age animals"
"Goat and Sheep Herding","Pastoral use of smaller livestock","5,500 – 3,000 BC","• Managed goats and sheep for meat, milk, and wool|• Herds moved seasonally|• Developed knowledge of grazing lands","What is goat and sheep herding?|Explain pastoral livestock|Tell me about Shepherd Age herds"
"Pastoral Settlements","Temporary settlements of herders","6,000 – 3,000 BC","• Small communities near water and grazing lands|• Huts and simple shelters built|• Moved according to grazing needs","What were Shepherd Age settlements?|Explain pastoral settlements|Tell me about early herders' homes"
"Herding Tools","Implements used by pastoralists","6,000 – 3,000 BC","• Wooden sticks, ropes, and simple enclosures|• Used for controlling and protecting herds|• Hunting and milking tools included","What were Shepherd Age tools?|Explain pastoral tools|Tell me about herding implements"
"Domestication Knowledge","Skills passed down for animal care","6,000 – 3,000 BC","• Learned breeding and feeding techniques|• Managed herd health|• Selected animals for size and strength","What was domestication knowledge?|Explain pastoral skills|Tell me about Shepherd Age expertise"
"Milk Production","Use of livestock for dairy","6,000 – 3,000 BC","• Produced milk, cheese, and yogurt|• Helped supplement diet|• Milk trade started in small communities","What did Shepherd Age humans produce from milk?|Explain dairy use in pastoral age|Tell me about early milk products"
"Herd Protection","Protecting animals from predators","6,000 – 3,000 BC","• Used dogs and fences to guard herds|• Night watch and seasonal movement strategies|• Early knowledge of predation","How did Shepherd Age humans protect their herds?|Explain pastoral defense methods|Tell me about livestock protection"
"Pastoral Migration","Seasonal movement for grazing","6,000 – 3,000 BC","• Herds moved between wet and dry zones|• Maintained sustainable pasture use|• Influenced early settlement patterns","What is pastoral migration?|Explain Shepherd Age movement|Tell me about herding migration patterns"
"Trade of Livestock","Barter and trade among communities","5,500 – 3,000 BC","• Livestock exchanged for tools, grains, and other goods|• Helped create early trade networks|• Promoted interaction between settlements","What was livestock trade?|Explain Shepherd Age trading|Tell me about pastoral commerce"
"Shepherd Age Tools","Implements for daily herding","6,000 – 3,000 BC","• Wooden staffs, ropes, and portable enclosures|• Used for controlling cattle and goats|• Supported long-distance movement","What tools did Shepherd Age humans use?|Explain pastoral tools in Sri Lanka|Tell me about early herding implements"
"Animal Sacrifice Practices","Rituals involving livestock","6,000 – 3,000 BC","• Some animals sacrificed for religious or cultural reasons|• Evidence from burial and ceremonial sites|• Demonstrated early spiritual beliefs","What were Shepherd Age animal rituals?|Explain early sacrificial practices|Tell me about pastoral religious customs"
"Pastoral Diet","Food from herded animals","6,000 – 3,000 BC","• Consumed milk, cheese, meat, and animal fats|• Supplemented with wild plants|• Diet supported mobility","What did Shepherd Age humans eat?|Explain pastoral diet|Tell me about Shepherd Age food"
"Animal Breeding","Selective breeding for traits","6,000 – 3,000 BC","• Selected strongest and healthiest animals for reproduction|• Improved herd quality over generations|• Ensured sustainability of livestock","What was animal breeding in Shepherd Age?|Explain livestock breeding|Tell me about selective breeding"
"Animal Corrals","Structures for keeping animals safe","6,000 – 3,000 BC","• Temporary or semi-permanent enclosures built from wood or stone|• Protected herds from predators|• Used during migration","What were Shepherd Age corrals?|Explain animal enclosures|Tell me about pastoral shelters"
